"Kid A, Radiohead"
"OK Computer, Radiohead"
"My Beautiful Dark Twisted Fantasy, Kanye West"
"In Rainbows, Radiohead"
"To Pimp a Butterfly, Kendrick Lamar"
"Blonde, Frank Ocean"
"Funeral, Arcade Fire"
"Is This It, The Strokes"
"good kid, m.A.A.d city, Kendrick Lamar"
"Yankee Hotel Foxtrot, Wilco"
"In the Aeroplane Over the Sea, Neutral Milk Hotel"
"Illinois, Sufjan Stevens"
"Yeezus, Kanye West"
"Channel Orange, Frank Ocean"
"Sound of Silver, LCD Soundsystem"
"Madvillainy, Madvillain"
"Norman Fucking Rockwell!, Lana Del Rey"
"Carrie & Lowell, Sufjan Stevens"
"Merriweather Post Pavilion, Animal Collective"
"Melodrama, Lorde"
"Modern Vampires of the City, Vampire Weekend"
"Turn On the Bright Lights, Interpol"
"The Suburbs, Arcade Fire"
"Fetch the Bolt Cutters, Fiona Apple"
"Currents, Tame Impala"
"Homogenic, Björk"
"For Emma, Forever Ago, Bon Iver"
"Blackstar, David Bowie"
"Discovery, Daft Punk"
"Punisher, Phoebe Bridgers"
"Teen Dream, Beach House"
"Since I Left You, The Avalanches"
"Bon Iver, Bon Iver"
"Boxer, The National"
"The Soft Bulletin, The Flaming Lips"
"Lemonade, Beyoncé"
"This Is Happening, LCD Soundsystem"
"Aquemini, OutKast"
"Fleet Foxes, Fleet Foxes"
"Either/Or, Elliott Smith"
"Vespertine, Björk"
"DAMN., Kendrick Lamar"
"Bloom, Beach House"
"Ys, Joanna Newsom"
"Stankonia, OutKast"
"Back to Black, Amy Winehouse"
"Untrue, Burial"
"Late Registration, Kanye West"
"The Miseducation of Lauryn Hill, Lauryn Hill"
"The College Dropout, Kanye West"
"IGOR, Tyler, the Creator"
"If You're Feeling Sinister, Belle and Sebastian"
"Lost in the Dream, The War on Drugs"
"Ágætis byrjun, Sigur Rós"
"E•MO•TION, Carly Rae Jepsen"
"High Violet, The National"
"Halcyon Digest, Deerhunter"
"Lift Your Skinny Fists like Antennas to Heaven, Godspeed You! Black Emperor"
"Lonerism, Tame Impala"
"The Lonesome Crowded West, Modest Mouse"
"Golden Hour, Kacey Musgraves"
"The Moon & Antarctica, Modest Mouse"
"Endtroducing..., DJ Shadow"
"Random Access Memories, Daft Punk"
"22, A Million, Bon Iver"
"Music Has the Right to Children, Boards of Canada"
"folklore, Taylor Swift"
"Titanic Rising, Weyes Blood"
"Mezzanine, Massive Attack"
"A Seat at the Table, Solange"
"Vampire Weekend, Vampire Weekend"
"CTRL, SZA"
"Pinkerton, Weezer"
"Helplessness Blues, Fleet Foxes"
"The Life of Pablo, Kanye West"
"MAGDALENE, FKA twigs"
"xx, The xx"
"Whatever People Say I Am, That's What I'm Not, Arctic Monkeys"
"Kaputt, Destroyer"
"A Moon Shaped Pool, Radiohead"
"Donuts, J Dilla"
"Elephant, The White Stripes"
"Have One on Me, Joanna Newsom"
"Art Angels, Grimes"
"Voodoo, D'Angelo"
"OIL OF EVERY PEARL's UN-INSIDES, SOPHIE"
"You Forgot It in People, Broken Social Scene"
"Person Pitch, Panda Bear"
"I Love You, Honeybear, Father John Misty"
"Third, Portishead"
"In Colour, Jamie xx"
"Body Talk, Robyn"
"The Money Store, Death Grips"
"Amnesiac, Radiohead"
"The Glow, Pt. 2, The Microphones"
"Songs for the Deaf, Queens of the Stone Age"
"Flower Boy, Tyler, the Creator"
"When the Pawn..., Fiona Apple"
"Silent Shout, The Knife"
"Beyoncé, Beyoncé"
"I Can Hear the Heart Beating as One, Yo La Tengo"
"White Blood Cells, The White Stripes"
"The Blueprint, JAY-Z"
"1989, Taylor Swift"
"Pop 2, Charli XCX"
"Demon Days, Gorillaz"
"69 Love Songs, The Magnetic Fields"
"Odelay, Beck"
"Run the Jewels 2, Run the Jewels"
"Stories From the City, Stories From the Sea, PJ Harvey"
"Twin Fantasy, Car Seat Headrest"
"Pure Heroine, Lorde"
"Yoshimi Battles The Pink Robots, The Flaming Lips"
"Kala, M.I.A."
"Black Messiah, D'Angelo / The Vanguard"
"Plastic Beach, Gorillaz"
"American Water, Silver Jews"
"Red, Taylor Swift"
"A Deeper Understanding, The War on Drugs"
"Born to Die, Lana Del Rey"
"Veckatimest, Grizzly Bear"
"Let England Shake, PJ Harvey"
"Give Up, The Postal Service"
"Atrocity Exhibition, Danny Brown"
"Sunbather, Deafheaven"
"Graduation, Kanye West"
"Visions, Grimes"
"m b v, My Bloody Valentine"
"808s and Heartbreak, Kanye West"
"Strawberry Jam, Animal Collective"
"Hurry Up, We're Dreaming, M83"
"Be the Cowboy, Mitski"
"Fever to Tell, Yeah Yeah Yeahs"
"Trouble Will Find Me, The National"
"Sometimes I Sit and Think, and Sometimes I Just Sit, Courtney Barnett"
"ANTI, Rihanna"
"AM, Arctic Monkeys"
"Silent Alarm, Bloc Party"
"I'm Wide Awake, It's Morning / Digital Ash in a Digital Urn, Bright Eyes"
"Teens of Denial, Car Seat Headrest"
"Perfect From Now On, Built to Spill"
"Room on Fire, The Strokes"
"Strange Mercy, St. Vincent"
"Summerteeth, Wilco"
"The Marshall Mathers LP, Eminem"
"Wolfgang Amadeus Phoenix, Phoenix"
"Puberty 2, Mitski"
"Apologies to the Queen Mary, Wolf Parade"
"We got it from Here... Thank You 4 Your service, A Tribe Called Quest"
"LP1, FKA twigs"
"Keep it Like a Secret, Built to Spill"
"Ultraviolence, Lana Del Rey"
"The Age of Adz, Sufjan Stevens"
"Contra, Vampire Weekend"
"My Woman, Angel Olsen"
"Transatlanticism, Death Cab for Cutie"
"Sea Change, Beck"
"To Be Kind, Swans"
"Neon Bible, Arcade Fire"
"Take Care, Drake"
"The Monitor, Titus Andronicus"
"U.F.O.F., Big Thief"
"Emergency & I, The Dismemberment Plan"
"And Then Nothing Turned Itself Inside-Out, Yo La Tengo"
"Feels, Animal Collective"
"Ray of Light, Madonna"
"The Richard D. James Album, Aphex Twin"
"XO, Elliott Smith"
"The Woods, Sleater-Kinney"
"What's Your Pleasure?, Jessie Ware"
"Saint Cloud, Waxahatchee"
"White Pony, Deftones"
"Skeleton Tree, Nick Cave & the Bad Seeds"
"Depression Cherry, Beach House"
"Hail to the Thief, Radiohead"
"Ga Ga Ga Ga Ga, Spoon"
"The Fame Monster, Lady Gaga"
"Alligator, The National"
"Speakerboxxx/The Love Below, OutKast"
"Celebration Rock, Japandroids"
"Slowdive, Slowdive"
"Women in Music Pt. III, Haim"
"Push the Sky Away, Nick Cave & the Bad Seeds"
"F♯ A♯ ∞, Godspeed You! Black Emperor"
"Time Out of Mind, Bob Dylan"
"Some Rap Songs, Earl Sweatshirt"
"The ArchAndroid, Janelle MonÃ¡e"
"Return to Cookie Mountain, TV on the Radio"
"Mm..Food?, MF DOOM"
"Purple Mountains, Purple Mountains"
"Microcastle / Weird Era Cont., Deerhunter"
"Moon Safari, Air"
"Reflektor, Arcade Fire"
"I See a Darkness, Bonnie Prince Billy"
"13, Blur"
"James Blake, James Blake"
"Cosmogramma, Flying Lotus"
"Bitte Orca, Dirty Projectors"
"Mama's Gun, Erykah Badu"
"Divide, Ed Sheeran"
"AM, Arctic Monkeys"
"Sometimes I Might Be Introvert, Little Simz"
"Sour, Olivia Rodrigo""channel ORANGE, Frank Ocean"
"Good Girl Gone Bad, Rihanna"
"Purpose (Deluxe), Justin Bieber"
"So Far Gone, Drake"
